pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,819.9316192780403
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,822.3272967935774
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,831.0175110110328
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,828.7057848223484
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,824.6473104767696
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,824.6473104767696
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,818.1518215639785
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,818.1518215639785
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,820.2674900613945
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,828.8597675156241
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,828.7057848223484
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,824.6473104767696
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,824.6473104767696
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,818.1518215639785
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,818.1518215639785
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,818.730188718307
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,827.3112747097694
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,825.243460779143
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,820.4446402434918
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,820.4446402434918
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,814.4559468333387
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,814.4559468333387
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,816.5540718921351
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,824.6311716766322
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,824.4777366766959
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,820.4446402434918
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,819.2148181035757
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,814.4559468333387
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,813.6897689423495
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,815.7865252507581
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,819.9622728028381
